Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
"Population, total",SP.POP.TOTL,Ukraine,UKR,44622518,44385155
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9630959,9770529
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66460344,66834405
"Population, total",SP.POP.TOTL,United States,USA,326687501,328239523
"Population, total",SP.POP.TOTL,Uruguay,URY,3449299,3461734
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,32956100,33580650
"Population, total",SP.POP.TOTL,Vanuatu,VUT,292680,299882
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28870195,28515829
"Population, total",SP.POP.TOTL,Vietnam,VNM,95540395,96462106
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,106977,106631
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4569087,4685306
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,28498687,29161922
"Population, total",SP.POP.TOTL,Zambia,ZMB,17351822,17861030
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14439018,14645468
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.38476110022344,2.31181721714573
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.246732042281782,-0.426007367032238
Population growth (annual %),SP.POP.GROW,Algeria,DZA,2.00737383000812,1.93395019121501
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-0.279065761519574,-0.276230801135428
Population growth (annual %),SP.POP.GROW,Andorra,AND,0.00649321134981403,0.176453843432831
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.27613387502724,3.2429826028718
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.897185120114641,0.860380480678118
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.01580834908002,0.993397493293046
Population growth (annual %),SP.POP.GROW,Armenia,ARM,0.236306378760517,0.201539722879792
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.453575638777095,0.442121959444383
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.53610551570388,1.51598445404769
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.487071924768999,0.412539808816785
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.866316916370841,0.837019639355119
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,1.01095334432863,0.991335935305563
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,4.92116137205662,4.46923900893373
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.05004464945676,1.0420011284052
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.142439722865012,0.133875829263984
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.155570407004577,-0.175648469687962
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.455184695275022,0.497584971619203
Population growth (annual %),SP.POP.GROW,Belize,BLZ,1.92457576999509,1.88311073570597
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.73486201301479,2.71510535908362
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,0.0735835172921417,-0.00312891113892766
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,1.17684339517943,1.14638227394932
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.42189948560338,1.39909836758217
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-0.826854592009436,-0.692206408656095
Population growth (annual %),SP.POP.GROW,Botswana,BWA,2.197675757572,2.1752909092404
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.783847578971981,0.75154842651724
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,0.757847309225455,0.762137664197041
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.05199374278845,1.00273731829347
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-0.722080405222853,-0.703905641117455
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.86707836702633,2.84422255256232
Population growth (annual %),SP.POP.GROW,Burundi,BDI,3.16677344240935,3.12896711408085
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,1.15976676910969,1.12792431423236
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.49035537141766,1.44639338013252
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.61229075104427,2.58424710709784
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.39794779099322,1.42405130729193
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,1.2418234783193,1.19888054809676
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,1.51905153699811,1.67474521186478
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.02357969868233,2.98593746093303
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,1.0814932456123,1.02697265622261
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.39101054110467,1.18298043072933
Population growth (annual %),SP.POP.GROW,China,CHN,0.455899678672578,0.357291063115687
Population growth (annual %),SP.POP.GROW,Colombia,COL,1.51727089084319,1.38170201436676
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.23917061120128,2.20587743735692
